hgnc_symbol	gene_biotype	baseMean	log2FoldChange	lfcSE	pvalue	padj	diffexpressed
ENSG00000130939	UBE4B	protein_coding	15581.054076962	-0.0682593602674397	0.112667910730453	0.475942771450189	0.711018850534457	NO
ENSG00000054523	KIF1B	protein_coding	14239.704422313	0.0541409922966302	0.117965359612733	0.584748936306829	0.785788903564386	NO
ENSG00000284735	AL139424.3	lncRNA	15.4907228196399	0.00219047004006729	0.207475666267638	0.965883848492341	0.985007067960968	NO
ENSG00000284642	AL139424.2	lncRNA	59.5248929868653	-0.184250902945475	0.204063335100874	0.134395266917473	0.359086442662778	NO
ENSG00000142657	PGD	protein_coding	2254.43022857326	-0.11667152406173	0.125925341126487	0.25665403341468	0.514960833687058	NO
ENSG00000251503	CENPS-CORT	protein_coding	119.481051326279	-0.333289059311723	0.193882839031924	0.0161671515550678	0.103621090167554	NO
ENSG00000160049	DFFA	protein_coding	1763.19588393548	-0.1771398995162	0.0967355108979618	0.0404110231089311	0.180025777613206	NO
ENSG00000142655	PEX14	protein_coding	9014.87922023856	-0.0277074726357827	0.101919706248217	0.756178651745444	0.885322173480833	NO
ENSG00000130940	CASZ1	protein_coding	28908.4057960766	-0.0559692534917306	0.164278242717252	0.602338613792887	0.796450707516923	NO
ENSG00000272078	AL139423.1	lncRNA	16.055960030437	-0.09748822639077	0.232165150235332	0.262150966443981	0.520708820589901	NO
ENSG00000175262	C1orf127	protein_coding	110.890017916106	0.0672757567070951	0.195598021212903	0.49884419866475	0.727656279021393	NO
ENSG00000120948	TARDBP	protein_coding	4713.67137940217	-0.232180975562257	0.0798611521934589	0.00174716292717771	0.0245318583636383	NO
ENSG00000009724	MASP2	protein_coding	39.3308349828576	-0.165060156513639	0.287020951101901	0.0319165097593173	0.157347888105368	NO
ENSG00000116649	SRM	protein_coding	588.25057047825	0.310858169932762	0.226653571502827	0.0288170063888969	0.14807105777152	NO
ENSG00000230337	EXOSC10-AS1	lncRNA	268.001905356366	-0.435168198332407	0.184907004378743	0.00223653084201166	0.0287948359926332	NO
ENSG00000171824	EXOSC10	protein_coding	2831.21337879343	-0.129691188201603	0.114979358602488	0.183348769846105	0.42892082939315	NO
ENSG00000198793	MTOR	protein_coding	10993.3042683484	-0.0626034420095071	0.0793314246144503	0.395036421799582	0.646319517543577	NO
ENSG00000120942	UBIAD1	protein_coding	1033.3483980797	-0.135085498431758	0.0818926498078865	0.0737830999701565	0.256183750652666	NO
ENSG00000302153		lncRNA	105.394570642296	-0.14975291586573	0.210179421660716	0.195981890806422	0.444660896617592	NO
ENSG00000204624	DISP3	protein_coding	269.978060082615	-0.118010769695066	0.234854976868881	0.159098059888356	0.395066571107507	NO
ENSG00000116661	FBXO2	protein_coding	230.740612795738	-0.546924665784473	0.571986462200206	0.0045097141200368	0.0459939174124538	DOWN
